"date","y","gdp","debt"
1999-03-01,0.0126842020327231,-0.0227236620630266,-0.065294241323998
1999-04-01,0.0399317535388262,-0.0137983936756883,-0.056553186015794
1999-05-01,0.045290530068903,-0.00487312528835201,-0.0478121307075851
1999-06-01,0.000359153355455888,0.0040521430989868,-0.039071075399379
1999-07-01,0,0.0129774114863233,-0.0303300200911729
1999-08-01,4.23702780949498e-06,0.0219026798736607,-0.021588964782965
1999-09-01,0,0.0308279482609989,-0.012847909474759
1999-10-01,0.000121806872705577,0.0397532166483351,-0.00410685416655199
1999-11-01,0.0193316208006173,0.0486784850356739,0.00463420114165503
1999-12-01,0.0116562366082089,0.05760375342301,0.0133752564498609
2000-01-01,0.0112458020910404,0.066529021810348,0.0221163117580681
2000-02-01,0.0114771303327288,0.057481635859607,0.0246869163908839
2000-03-01,0.00979554416395345,0.048434249908871,0.027257521023702
2000-04-01,-0.00728333014068117,0.039386863958127,0.0298281256565139
2000-05-01,0.00266969457094124,0.030339478007389,0.032398730289332
2000-06-01,0.0117535129126516,0.021292092056648,0.034969334922147
2000-07-01,0.0339578024991045,0.012244706105909,0.0375399395549629
2000-08-01,-0.0235902336644278,0.00319732015516799,0.040110544187778
2000-09-01,-0.00512126144397218,-0.00585006579557196,0.0426811488205919
2000-10-01,0.0108867062668363,-0.014897451746312,0.04525175345341
2000-11-01,-0.00903297399746616,-0.02394483769705,0.047822358086227
2000-12-01,0.0397195850500118,-0.032992223647791,0.05039296271904
2001-01-01,0.0353335459289106,-0.042039609598531,0.0529635673518559
2001-02-01,0.00181644843550632,-0.0267733459612,0.04323783038094
2001-03-01,-0.000453802875822085,-0.011507082323865,0.0335120934100301
2001-04-01,0.0272677009045541,0.00375918131346398,0.0237863564391099
2001-05-01,-0.00114906982192853,0.019025444950794,0.01406061946819
2001-06-01,-0.00968681202640642,0.034291708588127,0.00433488249726999
2001-07-01,-0.00564189021737072,0.049557972225459,-0.00539085447364007
2001-08-01,-0.00134801188689515,0.06482423586279,-0.0151165914445599
2001-09-01,-0.00985051569098161,0.0800904995001219,-0.02484232841548
2001-10-01,0,0.095356763137452,-0.03456806538639
2001-11-01,0.0124550346539802,0.110623026774784,-0.0442938023573101
2001-12-01,0.00367071453839962,0.125889290412117,-0.054019539328222
