"date","y","gdp","debt"
1980-02-01,-0.0119022784918008,0.760761924515029,0.27152791522611
1980-03-01,0.0205873347593807,0.72478277784218,0.278036419001926
1980-04-01,0.0191374493473583,0.670814057832905,0.287799174665648
1980-05-01,-0.0156085281646112,0.598855764487207,0.300816182217279
1980-06-01,-0.0304502292894137,0.508907897805084,0.317087441656817
1980-07-01,-0.00217485949263019,0.400970457786536,0.336612952984262
1980-08-01,0.00217485949263019,0.275043444431564,0.359392716199615
1980-09-01,-0.0186578612815791,0.131126857740167,0.385426731302875
1980-10-01,-0.0057532653930279,-0.030779302287654,0.414714998294044
1980-11-01,-0.00244044898163986,-0.210675035651902,0.447257517173118
1980-12-01,0.0225607725577183,-0.408560342352572,0.483054287940102
1981-01-01,-0.0139930166598805,-0.624435222389668,0.522105310594992
1981-02-01,0.0216096140641929,-0.810201834066189,0.562405874430433
1981-03-01,0.0475321496461708,-0.965860177382135,0.603955979446423
1981-04-01,0.00764613228575195,-1.09141025233751,0.646755625642963
1981-05-01,0.0379334534074101,-1.1868520589323,0.690804813020055
1981-06-01,0.0652620740539044,-1.25218559716653,0.736103541577696
1981-07-01,0.0253358548256554,-1.28741086704018,0.782651811315887
1981-08-01,0.0507477161815864,-1.29252786855325,0.830449622234628
1981-09-01,-0.0361383008192531,-1.26753660170575,0.879496974333919
1981-10-01,-0.00756272677630737,-1.21243706649767,0.929793867613759
1981-11-01,-0.0419976959754766,-1.12722926292902,0.98134030207415
1981-12-01,0.00311002757933532,-1.0119131909998,1.03413627771509
1982-01-01,0.0126021178509735,-0.86648885071,1.08818179453658
1982-02-01,0.0207493860047714,-0.742044021785959,1.14084554336976
1982-03-01,0.0106380474008697,-0.638578704227677,1.19212752421462
1982-04-01,0.0168138736922492,-0.556092898035151,1.24202773707118
1982-05-01,-0.00907843900962568,-0.494586603208383,1.29054618193942
1982-06-01,0.00907843900962568,-0.454059819747372,1.33768285881935
1982-07-01,0.0056906867247597,-0.43451254765212,1.38343776771096
