"date","ngn_per_usd","gdp_growth_monthly_interp","debt_service_monthly_interp","log_exr","log_exr_return","gdp_growth_m","debt_service_m"
2000-04-01,99.878,0.413355828262325,0.651366771319615,4.60394944118225,-0.00728333014068117,0.413355828262325,0.651366771319615
2000-05-01,100.145,0.443695306269714,0.683765501608947,4.6066191357532,0.00266969457094124,0.443695306269714,0.683765501608947
2000-06-01,101.329,0.464987398326362,0.718734836531094,4.61837264866585,0.0117535129126516,0.464987398326362,0.718734836531094
2000-07-01,104.829,0.477232104432271,0.756274776086057,4.65233045116495,0.0339578024991045,0.477232104432271,0.756274776086057
2000-08-01,102.385,0.480429424587439,0.796385320273835,4.62874021750052,-0.0235902336644278,0.480429424587439,0.796385320273835
2000-09-01,101.862,0.474579358791867,0.839066469094427,4.62361895605655,-0.00512126144397218,0.474579358791867,0.839066469094427
2000-10-01,102.977,0.459681907045555,0.884318222547837,4.63450566232339,0.0108867062668363,0.459681907045555,0.884318222547837
2000-11-01,102.051,0.435737069348505,0.932140580634064,4.62547268832592,-0.00903297399746616,0.435737069348505,0.932140580634064
2000-12-01,106.186,0.402744845700714,0.982533543353104,4.66519227337593,0.0397195850500118,0.402744845700714,0.982533543353104
2001-01-01,110.005,0.360705236102183,1.03549711070496,4.70052581930484,0.0353335459289106,0.360705236102183,1.03549711070496
2001-02-01,110.205,0.333931890140983,1.0787349410859,4.70234226774035,0.00181644843550632,0.333931890140983,1.0787349410859
2001-03-01,110.155,0.322424807817118,1.11224703449593,4.70188846486453,-0.000453802875822085,0.322424807817118,1.11224703449593
2001-04-01,113.2,0.326183989130582,1.13603339093504,4.72915616576908,0.0272677009045541,0.326183989130582,1.13603339093504
2001-05-01,113.07,0.345209434081376,1.15009401040323,4.72800709594715,-0.00114906982192853,0.345209434081376,1.15009401040323
2001-06-01,111.98,0.379501142669503,1.1544288929005,4.71832028392075,-0.00968681202640642,0.379501142669503,1.1544288929005
2001-07-01,111.35,0.429059114894962,1.14903803842686,4.71267839370338,-0.00564189021737072,0.429059114894962,1.14903803842686
2001-08-01,111.2,0.493883350757752,1.1339214469823,4.71133038181648,-0.00134801188689515,0.493883350757752,1.1339214469823
2001-09-01,110.11,0.573973850257874,1.10907911856682,4.7014798661255,-0.00985051569098161,0.573973850257874,1.10907911856682
2001-10-01,110.11,0.669330613395326,1.07451105318043,4.7014798661255,0,0.669330613395326,1.07451105318043
2001-11-01,111.49,0.77995364017011,1.03021725082312,4.71393490077948,0.0124550346539802,0.77995364017011,1.03021725082312
