"test","statistic","p_value"
"ARCH-LM (raw)",0.0653000355108515,0.999999999998364
"ARCH-LM (winsorized)",8.71088977488647,0.727405768118736
"Ljung-Box z (raw, lag12)",0.220395529558722,0.999999876446964
"Ljung-Box z^2 (raw, lag12)",0.0644029387820226,0.999945281521207
"Ljung-Box z (winsorized, lag12)",15.5754310831956,0.112448365098645
"Ljung-Box z^2 (winsorized, lag12)",9.00247024659083,0.108965668680113
