"variant","parameter","mean","sd","ci_2.5","ci_50","ci_97.5","n_eff","rhat"
"widened","beta0",0.000535211018601192,0.000357312017246983,-0.00011809262871365,0.000491666387303779,0.00149096592457691,8.27048374385337,1.14947925021931
"widened","betaExR",0.253427301333457,0.0910725208754149,0.0909183024120384,0.248083189453928,0.451395730858448,5770.17701574258,1.00409885041633
"widened","omega",-1.28728836643426,1.35068085539623,-3.95480028237329,-0.553935568908456,-0.33707692152677,2.0221088807451,9.25524629560113
"widened","alpha",0.641575234604951,0.198487590935125,0.159780018283615,0.713712890120613,0.86874360945124,2.4199367237717,2.30931219709256
"widened","gamma",0.255191585238917,0.137007036178024,0.0860055771992364,0.212063502610004,0.597536111003744,2.75231152396998,1.8592553595033
"widened","phi",0.826840489478014,0.151624993761156,0.527530924443889,0.909666122328942,0.93153540748688,2.02160801250034,9.37678534546244
"widened","betaGDP",-0.612356067333686,0.0573808546575726,-0.755284126587375,-0.604201487303041,-0.520833680178382,6.43318984730383,1.20212269819885
"widened","betaDebt",-0.166374978262941,0.476785294234031,-1.14927023974041,0.085927170006341,0.186438358586015,2.04368986604241,6.54718482813475
