"parameter","mean","sd","ci_2.5","ci_25","ci_50","ci_75","ci_97.5","n_eff","rhat"
"beta0",0.00046951796018126,0.000200120653461029,3.98675288195513e-05,0.000353390236724281,0.000474963692660059,0.000595965120260716,0.000842067563877768,6499.20364657566,1.00035792076679
"betaExR",0.250856999063713,0.0892483427803052,0.0937598507005287,0.190148260621544,0.243572146644488,0.307130659309624,0.444898117754392,6951.96723412244,1.00051831658299
"omega",-0.499547743604161,0.0959464063517282,-0.683433504563332,-0.56470412198875,-0.499444842427372,-0.435359357896706,-0.309907690625556,4466.01161006144,1.00071191997399
"alpha",0.787569644736863,0.0687202013225064,0.664206032539799,0.739867420736326,0.783732361293052,0.83125876013329,0.930298014899824,5427.56738090505,1.00020767930066
"gamma",0.182521603725811,0.0560392095422576,0.0692500544571521,0.145674945754053,0.183645970210171,0.220006591699206,0.289146724679672,6891.42940928502,1.00016654455184
"phi",0.914652372373478,0.00965444346886723,0.895808515887468,0.90817875436262,0.914622260804176,0.9211932051106,0.933393513071411,4818.54523649146,1.00065238877226
"betaGDP",-0.564028866346338,0.0381293704823379,-0.638239366060256,-0.589674080887897,-0.563984436612334,-0.538131962015648,-0.490400188134622,7038.53404260304,1.00025853968141
"betaDebt",0.159950116558403,0.0396068664954266,0.0811780460914181,0.133733508691058,0.159483267761866,0.185946979740183,0.238063834588262,6223.0893653812,1.00059222022575
