"date","h_median","h_lo","h_hi","vol_median","vol_lo","vol_hi"
1999-04-01,0.000648120069891756,0.000648120069891756,0.000648120069891756,0.025458202408885,0.025458202408885,0.025458202408885
1999-05-01,0.00162971158393831,0.00129880750406425,0.00210997423043294,0.0403696864483526,0.0360389720173071,0.0459344558086078
1999-06-01,0.0021112312585214,0.00148410546275478,0.00291254875698892,0.0459481366164222,0.038524089382551,0.053968034585196
1999-07-01,0.0012500158827126,0.000987518076315304,0.00161475568612306,0.0353555636740895,0.0314248003385114,0.0401840227717816
1999-08-01,0.000626028199129398,0.000482139155532778,0.000826434674878841,0.0250205555319901,0.0219576673518108,0.0287477768684613
1999-09-01,0.000316952055780431,0.000239525040898339,0.000426062853863517,0.0178031473560275,0.0154765965540987,0.0206412900242092
1999-10-01,0.000160085438689949,0.00011765179396954,0.000219072260556753,0.0126524874506932,0.0108467411681822,0.0148010898435471
1999-11-01,7.56127921524283e-05,5.44598919164119e-05,0.000105306365331623,0.00869556163524981,0.00737969456796227,0.0102618889748244
1999-12-01,0.00028078519875215,0.000211442106537193,0.000406161367012722,0.0167566464052969,0.0145410490177701,0.0201534455369974
2000-01-01,0.00014408119404196,0.000101445271030639,0.000204193092694805,0.01200338260833,0.010072004320424,0.01428961485467
2000-02-01,9.26766895198387e-05,6.04728582536381e-05,0.000133547298191222,0.00962687329925136,0.00777642965978849,0.0115562666199436
2000-03-01,8.52776608668035e-05,5.27643667414421e-05,0.000125220426964404,0.00923459045474153,0.00726390850310231,0.0111901933390091
2000-04-01,0.000135997726748673,7.68526208705452e-05,0.000207139258793584,0.0116618063244367,0.00876656265993378,0.0143923333338824
2000-05-01,8.29097048841312e-05,5.89207831842097e-05,0.00011292468335171,0.00910547664233626,0.00767598744033689,0.0106266026250966
2000-06-01,4.99868705271422e-05,3.73864187108065e-05,6.82308189982592e-05,0.00707013935698174,0.0061144434506181,0.00826019485231791
2000-07-01,0.000183955761072384,0.000140285460644305,0.000245673903952931,0.0135630291997173,0.0118442163372806,0.0156739881317082
2000-08-01,0.000849751203052842,0.000600736501598639,0.00118375615208478,0.0291504923295104,0.0245099265930896,0.0344057575426669
2000-09-01,0.000697167545746305,0.000527495840031732,0.000930944266744637,0.0264039304980585,0.0229672775929524,0.0305113792992817
2000-10-01,0.00060327181734271,0.000452859105761558,0.000815490875548302,0.024561592320994,0.0212804865019942,0.0285568008633373
2000-11-01,0.000608226663835307,0.000468967334033196,0.000800887479276702,0.024662251799771,0.0216556536274756,0.0282999554642176
2000-12-01,0.00157688712845157,0.00120130221261572,0.00209771338489386,0.039710038132084,0.0346598068750494,0.0458008011381227
2001-01-01,0.00303319351754589,0.00235872531784728,0.00395828719035717,0.0550744361527731,0.0485667099755303,0.062914920252331
2001-02-01,0.00309933983902634,0.00237750676621193,0.00408049470652687,0.0556717148920917,0.0487596838198519,0.0638787500388578
2001-03-01,0.00258187105452521,0.00200545535160704,0.00335443138443292,0.0508121152337236,0.0447823106997287,0.0579174531936006
2001-04-01,0.00136479961537799,0.00104675967883419,0.00180331449102148,0.0369431944392738,0.0323536656166529,0.0424654505571468
2001-05-01,0.00114000533798684,0.000874534513625394,0.00150422319855858,0.0337639650809385,0.0295725297129852,0.0387843163992686
2001-06-01,0.000594748625604621,0.000450568293876223,0.000798465445582652,0.0243874686182191,0.0212265940243889,0.0282571308802336
2001-07-01,0.000288888176913603,0.000221778031781871,0.000382447625136863,0.0169967107674868,0.014892213797212,0.0195562681802245
2001-08-01,7.69974320167113e-05,5.58358025091062e-05,0.000109196371987063,0.00877481806174414,0.00747233581345928,0.0104497067895259
2001-09-01,2.95998192130131e-05,2.02117639408913e-05,4.38552249123717e-05,0.00544057158881428,0.00449574954161053,0.00662232775633853
2001-10-01,6.26418110977584e-05,4.4633467494882e-05,9.08527419916859e-05,0.00791465798994236,0.00668082835394549,0.00953167047225647
2001-11-01,4.9887698749481e-05,3.64939726130338e-05,6.88495505130254e-05,0.00706312245040966,0.00604102413610753,0.00829756292612628
2001-12-01,8.84696681854052e-05,7.12612918415206e-05,0.000113440942724247,0.00940583160520138,0.00844164035253342,0.0106508658204039
2002-01-01,2.13906433995703e-05,1.66167311714449e-05,2.86496274050276e-05,0.00462500198914231,0.00407636249264524,0.00535253467107198
2002-02-01,6.46423159522376e-05,4.53555777008363e-05,9.01096273252165e-05,0.0080400445242696,0.0067346549800889,0.00949260908945567
2002-03-01,5.75803212592281e-06,3.36610672842614e-06,8.99214863182812e-06,0.00239958999121158,0.00183469526854629,0.00299869115312466
2002-04-01,3.34180395206676e-05,2.03909230812443e-05,5.41984999167428e-05,0.0057808338084283,0.00451563097265978,0.0073619630477708
