"date","epsilon","h_median","z","weight"
1999-04-01,0.0382706672606621,0.000648120069891756,1.50327452999217,1
1999-05-01,0.0400640141243788,0.000483815047356087,1.82143960096285,1
1999-06-01,-0.00556857571684061,0.00051569877260003,-0.245214462208229,1
1999-07-01,-4.83140559180578e-05,0.000115853979625242,-0.00448867352873207,1
1999-08-01,2.91934248379628e-06,2.96265960701238e-05,0.00053634491713505,1
1999-09-01,-1.87211402898173e-06,8.79166769227445e-06,-0.000631388497312399,1
1999-10-01,0.000120489187379878,3.35769756349984e-06,0.0657547737216659,1
1999-11-01,0.0193143642946084,1.42133634635413e-06,16.2006331373797,1
1999-12-01,0.00912531422479107,2.44766745131236,0.00583272662251957,1
2000-01-01,0.00971922839173075,0.0361106299242961,0.0511463039824824,1
2000-02-01,0.0100042633087981,0.00156153262017598,0.253168450293236,1
2000-03-01,0.00829240709629436,0.000194811224029401,0.594119254006412,1
2000-04-01,-0.00856642625488617,4.91624514052624e-05,-1.22175159730003,1
2000-05-01,0.0036214240373078,2.57561190726878e-05,0.713574246845472,1
2000-06-01,0.0114028571144601,8.44256219891493e-06,3.92442964685014,1
2000-07-01,0.0324184998827905,0.000111343251740817,3.07228120741852,1
2000-08-01,-0.028035038919915,0.000288678440746867,-1.65003815914844,1
2000-09-01,-0.00203572125420847,0.000137353883222271,-0.17369920866075,1
2000-10-01,0.011555522097083,1.96173095805506e-05,2.60897459112789,1
2000-11-01,-0.0104588521789536,5.19033502990269e-05,-1.45173159554408,1
2000-12-01,0.0409002610369914,4.25871120253084e-05,6.26739381602416,1
2001-01-01,0.0301347929128872,0.00361405267562517,0.501269144131639,1
2001-02-01,-0.00280837726830753,0.000411597857673797,-0.138426390996369,1
2001-03-01,-0.000692808675542836,5.15912178452566e-05,-0.0964551514983467,1
2001-04-01,0.0273257647836884,8.09125752534041e-06,9.60648068074561,1
2001-05-01,-0.0047184537871457,0.0173970225921327,-0.0357735666824617,1
2001-06-01,-0.00953777023334356,0.00092247348627408,-0.314029110997775,1
2001-07-01,-0.00437565742339307,0.000185145640573993,-0.321578176175862,1
2001-08-01,-0.000611070108765758,5.8319298343707e-05,-0.08001748462805,1
2001-09-01,-0.00967544168947756,2.34576236103214e-05,-1.99769320857964,1
2001-10-01,0.00128765394449965,6.55640034199386e-05,0.159025375756517,1
2001-11-01,0.0124537169686545,1.88726227554363e-05,2.8667040632228,1
2001-12-01,0.00203961554810426,9.06923244926986e-05,0.214172175105075,1
2002-01-01,0.0137155791261684,2.91234809891603e-05,2.54151401265027,1
2002-02-01,0.00516466412866544,0.000106810523734512,0.499729584865384,1
2002-03-01,0.00986982372027122,3.09811913019427e-05,1.77321068385583,1
2002-04-01,-0.000634604797115575,4.53168358371498e-05,-0.0942700118071376,1
2002-05-01,0.00343631486203013,1.59737263195107e-05,0.859784934130716,1
2002-06-01,0.0166664730509156,1.91954744743048e-05,3.80403302521779,1
2002-07-01,0.0480769293946791,0.00030489106653826,2.75336870800009,1
2002-08-01,0.000410903954441297,0.000988767729107399,0.0130675201659931,1
2002-09-01,0.00670707359926012,0.000170280079430231,0.513985834545179,1
2002-10-01,-0.000287086924544833,6.64512386694634e-05,-0.0352177715957412,1
2002-11-01,0.0020768301770673,2.05016059096856e-05,0.458677086348783,1
2002-12-01,0.000181486798952555,8.0371080780303e-06,0.0640169732139396,1
