"parameter","mean","sd","ci_2.5","ci_25","ci_50","ci_75","ci_97.5","n_eff","rhat"
"beta0",0.000970448366202169,0.000524294152470453,-8.92795551692713e-05,0.000646116923417382,0.000955402607820803,0.001277808661623,0.00206660007644608,10672.5984753823,1.00064398399098
"betaExR",0.356814879728515,0.090005842852119,0.177646345314262,0.297796566896432,0.358257853856997,0.418312910188228,0.534682511865348,7910.83628585713,1.00069106043914
"omega",-1.7112745757658,0.341441247727499,-2.43323235157773,-1.92697886923319,-1.69729621906769,-1.47573774205791,-1.08482481305003,3341.13231922696,1.00040268458152
"alpha",0.449681132110668,0.0872394293380601,0.280123733784735,0.390775988260767,0.448121652414507,0.507893590398358,0.619503668581479,5643.82039569302,1.00077779334645
"gamma",0.221158319332462,0.0853035328866537,0.0545017747673493,0.163596166932863,0.221267532589116,0.278206138337264,0.391036126581205,4043.77545429461,1.00107047407015
"phi",0.7799486366307,0.0391961300856551,0.695991113054,0.755358526657506,0.782111003789955,0.807279186426134,0.85097988845252,3347.17162451331,1.00036154068956
"betaGDP",-0.145169117650613,0.0438986550969157,-0.231343013722959,-0.174605242638722,-0.144962354957453,-0.116184010832262,-0.0592589798649889,6220.60211005278,1.00009079376127
"betaDebt",0.274619205465136,0.0643240775335312,0.163274216421133,0.229532108850881,0.269057909740779,0.315202756341303,0.414420292565258,4174.53152013705,1.00033669810323
