"beta0","betaExR","omega","alpha","gamma","phi","betaGDP","betaDebt"
0.00157393859002459,0.30056177423039,-1.3882645699364,0.464684728182719,0.235764854280695,0.816546395702997,-0.178267597345936,0.170473177124858
0.00108674933620022,0.292545564381722,-2.46470199591921,0.422824439151337,0.285077761886543,0.694658920869061,-0.105405941908492,0.404489982538087
0.00131085308797433,0.354359196688417,-1.64436676687703,0.519521590746793,0.200328966007015,0.781489530541393,-0.128434726484538,0.291576867191475
0.000883717664941004,0.35700002531233,-1.42908880286034,0.36605698023806,0.242333206148019,0.819780801774733,-0.150567809445444,0.222921728707473
0.00098324129465226,0.360623024085667,-1.58995415125154,0.436749411815279,0.206643356793426,0.798034350068038,-0.1752431134192,0.225163039286297
0.00118773746956739,0.323214742622393,-1.27444830093964,0.496797914251403,0.0821385814340695,0.8333653525962,-0.149629910361508,0.25586022856524
0.000421611515410893,0.381357376053862,-1.89459926301196,0.459051307433961,0.169123427513842,0.757441041646288,-0.169818501545517,0.230151521087287
0.00183927840831756,0.491696446033879,-1.74916619706946,0.319881781186032,0.353712140425046,0.778311987641138,-0.147120568804473,0.188360281417111
0.000544963541288698,0.393054786644508,-1.71875424951959,0.495352076539664,0.254832803624972,0.776986680062915,-0.127621878780726,0.307290916432102
0.00107791981953646,0.275185531946583,-1.88996626827666,0.491138890883724,0.225148165365816,0.754478825733824,-0.120295387624986,0.299544884865376
0.000981131508658598,0.227300106297824,-2.04778611498285,0.466764872315666,0.217701375569882,0.741040361838768,-0.137860494420912,0.316921479442914
0.00049413481443046,0.329723331154559,-1.93259938661638,0.408453184972033,0.195289121293495,0.758149833591603,-0.12045331430209,0.310623997054269
0.000600446084003292,0.345992650554779,-1.7554678723773,0.585000074784624,0.205805527426041,0.760463631914518,-0.134824163978423,0.380562266822187
0.000866393416900757,0.426591439409094,-1.43327447154234,0.429952303022497,0.158705977321034,0.81518402630004,-0.176686436446449,0.208714255406493
0.000919600770511433,0.324620692075811,-2.26226477056259,0.36201327933883,0.332887113195533,0.716967508828846,-0.162419000512313,0.277642333826668
0.00156458592686285,0.36511978416048,-2.02856172383623,0.370804270894447,0.206877873426193,0.747204339038924,-0.168620313516967,0.291025778367351
0.000748062855256127,0.342137153182734,-1.92684449957147,0.437040458845779,0.307095309496607,0.750528681005563,-0.0917333885873942,0.382359622115116
0.000267778524437999,0.356068434692217,-1.18757277743765,0.472160169575982,0.15044564859512,0.839141077314478,-0.119004224635575,0.222776604086763
0.00126052533868192,0.449637260974928,-1.80593666152718,0.400849379961585,0.229158234112568,0.776617691148579,-0.168925464569984,0.248213678390116
0.00137781539983542,0.266219014984624,-1.2900810723281,0.507209672154285,0.149493922207739,0.828300948360444,-0.118801269181782,0.267884551624031
0.000841998583680289,0.415594469311772,-1.64545012809364,0.404483456037254,0.232164374994132,0.785082364643027,-0.121765776813172,0.286760089483646
0.00133895345254403,0.366734660806273,-1.41976074868842,0.422952563160804,0.218191987956747,0.814778003305585,-0.21324410981986,0.228598240411464
0.00109347994850498,0.228904936781694,-1.02401909308702,0.529412640764727,0.0850888055847498,0.85453566962233,-0.113937658125823,0.200542744189998
0.00101328735513254,0.194103206542553,-1.81047493535243,0.64196726530741,0.244120181826535,0.75816574874491,-0.119890386452085,0.297724642241125
0.000655907631121772,0.403315990997845,-1.84489686022586,0.356377057586271,0.241801076674762,0.774966494495353,-0.106805428645568,0.301557882426749
0.000665331763940436,0.328582526453996,-1.69729617335537,0.395814173966454,0.194011830729424,0.784471130317414,-0.158067827945052,0.231006213400818
0.00154437481330258,0.354109363156591,-1.62895599507182,0.59287858390718,0.239460699739991,0.78200400955253,-0.139499476356084,0.306282228045004
0.000329009110551453,0.139408350915833,-1.8958350463789,0.693835310794045,0.285238908807306,0.740079786813822,-0.0842900821769399,0.360779417881969
0.000299149348976082,0.276352068023585,-1.81867247543961,0.537107572581769,0.203822151035625,0.753178590976322,-0.0463087451312459,0.358588528471568
0.000771875867537506,0.367898568748019,-1.89501583336011,0.641982915003088,0.37969719060346,0.748721690988428,-0.0520433642963395,0.422083689157522
0.000796346007378271,0.221670547482663,-1.98603102585859,0.510362774472533,0.283131428829269,0.738009249103505,-0.224542332372208,0.24338296398467
0.00119104565340925,0.262826865490906,-1.84274065595545,0.372381864219866,0.21771406560208,0.769812380629383,-0.165061945510994,0.269548672372907
0.00109455575883869,0.360543309710593,-1.52587547501395,0.552216408343821,0.342004248088374,0.792500423249901,-0.174475738315069,0.280441425056264
0.00112996656514736,0.33519478857705,-2.23663004894004,0.379276581308435,0.255237293233152,0.725602083282238,-0.169860685822534,0.257054341926457
0.000270308270173978,0.319981861905659,-2.21716116933515,0.350015765446337,0.240351028741646,0.733363238962481,-0.192709757997235,0.276884912714857
0.00129444855755707,0.458381277574134,-2.23339268917995,0.53858157437316,0.439651991269724,0.710613281553762,-0.114158368754572,0.364590190447251
0.000731733562022409,0.348842754664478,-2.1083892284978,0.574919814548371,0.298550161889071,0.717727759351977,-0.146609610430689,0.379884168236003
0.00119386927844238,0.370182201871676,-1.4658637084475,0.413957742004087,0.261618017692205,0.810813620929949,-0.0916919286178317,0.252863445686585
0.000593438778940341,0.33813846873116,-1.41864115164011,0.484612892367368,0.108250527239211,0.809395587088048,-0.147988008408864,0.2528444845508
0.000662767140869503,0.3323008792906,-1.79059752514055,0.592901675393503,0.199745102127519,0.764043355332693,-0.0752959750666693,0.396444783162314
0.000187495095546834,0.297278482512034,-1.69391878999647,0.576088295535567,0.134124861759779,0.775954786470611,-0.122395970490014,0.31259261688653
0.000684679866172599,0.278188896933127,-1.17956263215783,0.523285935900613,0.13544038156259,0.838291464383208,-0.124137463841465,0.210235107999132
0.00067934114326063,0.270293862812749,-2.08530911427839,0.364851395992933,0.351850789756406,0.737529831871141,-0.140991934171129,0.258545131321241
0.00117227625741955,0.347620458590509,-1.60403398459056,0.515586688008148,0.303053838174091,0.785120324324363,-0.164818633437774,0.26560021164493
