"date","h_median","h_lo","h_hi","vol_median","vol_lo","vol_hi"
1999-04-01,0.000648120069891756,0.000648120069891756,0.000648120069891756,0.025458202408885,0.025458202408885,0.025458202408885
1999-05-01,0.000733627865101246,0.000586085607514116,0.000927407306915448,0.0270855656226937,0.0242092050161528,0.0304533628178474
1999-06-01,0.000704090960746762,0.000505776680365364,0.000999922096329985,0.026534712373545,0.0224894793262397,0.0316215448125164
1999-07-01,0.000383307037230974,0.000259380613377056,0.000555496024504278,0.0195782286540681,0.0161052976804856,0.023568963161418
1999-08-01,0.000215006878667477,0.00014596151261271,0.000318037663069885,0.0146631128573532,0.0120814532492044,0.0178336104889023
1999-09-01,0.000141009276596668,9.87437869868858e-05,0.00020389676923407,0.0118747326957986,0.00993699084164245,0.0142792426001546
1999-10-01,0.000104013740827438,7.57312066186889e-05,0.000145662003101964,0.0101987127044269,0.00870236787424485,0.0120690514582532
1999-11-01,8.41867273909954e-05,6.13115094497979e-05,0.000116459459933662,0.00917533254934094,0.00783016662975941,0.0107916384267479
1999-12-01,0.000271178124462977,0.000183526032330554,0.000448566062871615,0.0164674868897163,0.0135471780209221,0.0211793782456335
2000-01-01,0.000212067233739942,0.000130229337696901,0.000368912963654057,0.0145625284116441,0.0114118069426757,0.019207107113099
2000-02-01,0.000208965402819914,0.000120895913478551,0.000378642159290319,0.0144556356767841,0.0109952677765733,0.0194587296422536
2000-03-01,0.000222373285390727,0.000123880635883415,0.000409882614462118,0.0149121858019114,0.0111301678281783,0.0202455578945634
2000-04-01,0.000225115009859504,0.000121159474289686,0.000418880459028394,0.0150038331722098,0.0110072464444877,0.0204665693028508
2000-05-01,0.000232261688051764,0.00013092134382577,0.00040981744060399,0.015240134121843,0.0114420865153944,0.0202439482464264
2000-06-01,0.000254065356361245,0.000151978323324786,0.000427879445940459,0.0159394277300424,0.0123279488693288,0.0206852470601745
2000-07-01,0.00035874973865178,0.000223112041035512,0.000584741310947564,0.0189406900257562,0.0149369354633242,0.0241814249155744
2000-08-01,0.000900661028651634,0.000589334197757449,0.00142104934387291,0.0300110151219787,0.024276206411988,0.0376968081390575
2000-09-01,0.0009443155041851,0.000568693814386976,0.00146721485828341,0.0307297169558247,0.0238473020358064,0.0383042407349814
2000-10-01,0.000819800035270263,0.000543145830044266,0.0012130917761131,0.0286321503780324,0.0233054892685021,0.0348294670661654
2000-11-01,0.000967971922558391,0.000679638811414675,0.00136867978566509,0.0311122471473597,0.0260698832259501,0.0369956725261899
2000-12-01,0.000972822622642576,0.000660156570871726,0.00142045471516252,0.031190104562867,0.0256935122330857,0.0376889203236511
2001-01-01,0.00230388407958979,0.00163840839049702,0.00326513194963023,0.0479987924805384,0.0404772576948713,0.0571413331103697
2001-02-01,0.00212985696277113,0.00154338593112184,0.00298131584826765,0.0461503733762917,0.0392859508109686,0.0546014271632862
2001-03-01,0.00141405233171566,0.00101913680248386,0.00198010234573279,0.0376038871889019,0.0319239221037118,0.0444983409323628
2001-04-01,0.000868782623331669,0.000622334240200479,0.00123047041974085,0.029475118716159,0.0249466278322438,0.0350780618013717
