"parameter","mean","sd","ci_2.5","ci_50","ci_97.5","n_eff","rhat"
"beta0",7.44552293024075e-07,3.02144714589093e-05,-5.65724485378563e-05,-5.67543386165417e-07,6.28315162947119e-05,3445.88826829485,0.99931311887455
"betaExR",0.130998341225886,0.0693950972593226,-0.0130050460427457,0.133946045655932,0.256717065992342,2713.35679081115,1.00007723722644
"omega",-3.04264988187104,0.233239044778318,-3.48099069612144,-3.04432356261655,-2.57614340261958,1504.89856222247,1.00139555699261
"alpha",0.93967179782272,0.0930603657374402,0.77823927440559,0.932173513212567,1.14333556795467,2297.73357179536,1.00020056343087
"gamma",0.0042416099679354,0.0890548742826923,-0.181414286718311,0.0063538950570258,0.180957888706663,2304.57933550851,0.999640613368096
"phi",0.761613213056194,0.0190490918822907,0.726333467319024,0.761082812891696,0.799519496911893,1557.44392521608,1.00094631171015
"betaGDP",-0.135047256017421,0.0892896786090237,-0.317256898687991,-0.136080825451459,0.0352953950895378,2351.74134463593,1.00087386667919
"betaDebt",-0.520191395601955,0.0886434580164288,-0.687901506186859,-0.522090841782025,-0.344506228835801,2347.35522520884,1.00071171936367
"nu",4.03682235859439,0.0373980470161532,4.00057063940051,4.0254794496404,4.13519094827425,3334.71670539421,1.00000234655912
