"date","epsilon","h_median","z"
1999-05-01,0.0399736733016706,0.000648120069891756,1.57016872831994
1999-06-01,-0.00603248143471137,0.000474300617708038,-0.276993226364269
1999-07-01,-0.000686574820918787,0.000113465433828662,-0.0644549214258368
1999-08-01,-7.32068755245643e-07,3.3760053538066e-05,-0.000125994128882691
1999-09-01,-4.35260754572463e-07,9.9949662846922e-06,-0.000137676191552597
1999-10-01,0.000121856827189207,3.87787667414772e-06,0.0618803653899968
1999-11-01,0.0193160590815769,1.63310782383402e-06,15.1151024577243
1999-12-01,0.00916743043438715,0.798852711703619,0.0102568561858241
2000-01-01,0.00947285007686235,0.0121111428749887,0.0860771938106408
2000-02-01,0.00986552603588199,0.00059416055425079,0.404732741761744
2000-03-01,0.00815998149072794,9.64061678496403e-05,0.831068389211693
2000-04-01,-0.00870581238196614,3.44310998655837e-05,-1.48365818040607
2000-05-01,0.00346834913232585,2.36246820578552e-05,0.713575321558923
2000-06-01,0.0115131389019584,7.44578366539558e-06,4.21928184981834
2000-07-01,0.032407959694424,0.000117654762748109,2.98776842877419
2000-08-01,-0.0281253245071981,0.000239339161857678,-1.81798652160115
2000-09-01,-0.00256626218689892,0.000133293351244287,-0.222278153954894
2000-10-01,0.0118793156499025,2.00474232657274e-05,2.65315206598285
2000-11-01,-0.0103611181898417,5.07724433329778e-05,-1.45409438018798
2000-12-01,0.0407279169554373,4.53938427427564e-05,6.04496407349453
2001-01-01,0.0303511001737947,0.00244144361395135,0.614258378291765
2001-02-01,-0.00329112699575067,0.000312852148220682,-0.18606944839334
2001-03-01,-0.00118706557369261,4.30852045827904e-05,-0.180846717490332
2001-04-01,0.0273005094393146,7.76994094044825e-06,9.79404042803138
2001-05-01,-0.004650786811467,0.0146790151372713,-0.0383864520232557
2001-06-01,-0.00992446992331814,0.000735132684737234,-0.366036550332966
2001-07-01,-0.00437923195605775,0.000158668605394677,-0.347658175701171
2001-08-01,-0.000485034058707818,5.20456143885504e-05,-0.0672326401206635
2001-09-01,-0.00959718668388522,2.21983456291153e-05,-2.03696533477835
2001-10-01,0.0012865336064694,7.14162795304175e-05,0.152237808795314
2001-11-01,0.0125944456440428,2.03965998411378e-05,2.78868954571088
2001-12-01,0.00206836791096844,8.20083789942701e-05,0.228401355839038
2002-01-01,0.0135489268417275,2.58316084016945e-05,2.66580988259654
2002-02-01,0.00514532920588399,9.73750046925817e-05,0.521422083908676
2002-03-01,0.00968589039984342,2.60409018955608e-05,1.89806700540232
2002-04-01,-0.00070883100090977,3.92903154278975e-05,-0.113083683280958
2002-05-01,0.00328686073214977,1.4698082698013e-05,0.857335801173694
2002-06-01,0.0166646546284475,1.93483264188876e-05,3.78856388189371
2002-07-01,0.0480658859781343,0.000277955712299314,2.88302992352223
2002-08-01,0.000280469723761039,0.000951001649151505,0.00909484604253074
2002-09-01,0.00601225220653591,0.000161473058238906,0.473137264966395
2002-10-01,-0.000367877833030566,6.52453352110155e-05,-0.045543760422318
2002-11-01,0.00197200549258724,2.36859196756715e-05,0.405193989118457
2002-12-01,0.00017761131585548,8.54811789727072e-06,0.0607484750021031
2003-01-01,0.00136252575285298,3.42388751989023e-06,0.736351159562793
2003-02-01,0.00306104784860265,3.77815633136724e-06,1.57481722467816
2003-03-01,0.0257350759347153,1.22754202079019e-05,7.34526164204722
2003-04-01,-0.0295987383814911,0.00819046818940337,-0.327053526321624
2003-05-01,0.00445477317948536,0.0012778787481088,0.124617998708695
2003-06-01,0.00201364856607145,0.000188379953290611,0.146712235537685
2003-07-01,-0.000868422076708985,3.61569260672206e-05,-0.144422581903961
2003-08-01,0.00226540801465742,1.00404252477722e-05,0.714941289156316
2003-09-01,0.00417328656341025,9.68566583375114e-06,1.3409527226168
2003-10-01,0.00795733517139816,1.74778276007641e-05,1.90337309373035
2003-11-01,0.0503274348555913,4.59748386616225e-05,7.42240569561336
2003-12-01,-0.00223020091419556,0.0167416487660378,-0.0172363330165236
2004-01-01,-0.00968718455985263,0.00150093747616233,-0.250043905284139
2004-02-01,-0.0058487056040458,0.000279086947131391,-0.350098297695082
2004-03-01,-0.0107489087074209,6.23250305556587e-05,-1.36154852590081
2004-04-01,0.000917427189416475,4.71302204496953e-05,0.133635508769698
2004-05-01,-0.0071258572872971,8.48777282000394e-06,-2.44590872828628
2004-06-01,0.00276078121544712,2.43689642849295e-05,0.559259610119617
2004-07-01,0.000243184895348643,7.28185745689181e-06,0.0901188227914632
2004-08-01,0.000153710167182636,1.64622648951173e-06,0.119800271447578
2004-09-01,8.660335335495e-05,5.41056652488732e-07,0.117737100961859
2004-10-01,0.000260881420197233,1.48641213888989e-07,0.6766647115267
2004-11-01,-0.00011310627157132,1.31347496720328e-07,-0.312087077587989
2004-12-01,-9.98921288047616e-05,7.33308880646803e-08,-0.36888228231261
2005-01-01,2.9896625825276e-05,3.32726283052438e-08,0.16389987478603
2005-02-01,0.000837931989857426,1.63665811324412e-08,6.54982636419147
2005-03-01,-0.00099911309753217,3.91912651078904e-06,-0.504684551163232
2005-04-01,0.000102911258231644,1.52574628819193e-06,0.0833147176855615
2005-05-01,-0.00023665212396595,9.89931935289003e-07,-0.237852510233374
2005-06-01,0.000394884091811964,5.5560393277836e-07,0.529769538115926
2005-07-01,-2.79180687944994e-05,4.52677609771722e-07,-0.0414945315546009
2005-08-01,-0.00470180738049903,2.45795211152703e-07,-9.48370693000222
2005-09-01,-0.0203348245577614,0.00115967496036982,-0.597134673423107
2005-10-01,0.00678275119133014,0.000236087903354275,0.441437291700344
2005-11-01,-0.00140308923088442,7.55168643613483e-05,-0.161459393558219
2005-12-01,-0.00290023058033608,3.58953733522767e-05,-0.484075708822394
2006-01-01,0.0103525533612145,2.81398304489946e-05,1.95158171104089
2006-02-01,-0.0066248468593231,9.01651530386995e-05,-0.697680334088776
2006-03-01,-0.00633900601317201,4.87938684655285e-05,-0.907483083777582
2006-04-01,-0.000825752202896341,3.59552725783767e-05,-0.137710941728734
2006-05-01,0.000172008677497,1.7609837319309e-05,0.0409895060465036
2006-06-01,0.00012328409911509,1.18488976995879e-05,0.0358152585772909
2006-07-01,-0.000630660283041315,9.57249098614221e-06,-0.20383699034851
2006-08-01,-0.000310386547643082,1.08142483866264e-05,-0.0943853781569898
2006-09-01,-0.00025270703457275,1.14130459859732e-05,-0.0748025749414
2006-10-01,-3.22239121776309e-05,1.00145411119191e-05,-0.0101826950642081
2006-11-01,9.24990322639904e-05,7.18758561782787e-06,0.034502111442748
2006-12-01,-8.81695703958374e-06,4.97835317196812e-06,-0.0039516263551197
2007-01-01,-0.000100771405594885,4.27636598159089e-06,-0.0487303895628519
2007-02-01,-5.33175821345586e-05,3.13184393657407e-06,-0.030128006084363
